Global_apparent_power,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
4.22,3.7,0.52,235.22,15.8,0,1,17
4.178,3.668,0.51,233.99,15.8,0,1,17
4.172,3.662,0.51,233.86,15.8,0,2,16
4.946,4.448,0.498,232.86,19.6,0,1,17
5.882,5.412,0.47,232.78,23.2,0,1,17
5.702,5.224,0.478,232.99,22.4,0,1,16
5.666,5.268,0.398,232.91,22.6,0,2,17
4.476,4.054,0.422,235.24,17.6,0,1,17
3.666,3.384,0.282,237.14,14.2,0,0,17
3.422,3.27,0.152,236.73,13.8,0,0,17
3.586,3.43,0.156,237.06,14.4,0,0,17
3.266,3.266,0,237.13,13.8,0,0,18
3.728,3.728,0,235.84,16.4,0,0,17
5.894,5.894,0,232.69,25.4,0,0,16
7.706,7.706,0,230.98,33.2,0,0,17
7.026,7.026,0,232.21,30.6,0,0,16
5.174,5.174,0,234.19,22,0,0,17
4.474,4.474,0,234.96,19.4,0,0,17
3.248,3.248,0,236.66,13.6,0,0,17
3.236,3.236,0,235.84,13.6,0,0,17
3.228,3.228,0,235.6,13.6,0,0,17
3.258,3.258,0,235.49,13.8,0,0,17
3.178,3.178,0,235.28,13.4,0,0,17
2.72,2.72,0,235.06,11.6,0,0,17
3.834,3.758,0.076,234.17,16.4,0,0,17
3.294,3.216,0.078,232.79,13.8,0,0,17
3.272,3.194,0.078,231.98,13.6,0,0,16
3.278,3.278,0,232.88,14,0,0,17
3.282,3.282,0,232.52,14,0,0,17
3.292,3.292,0,232.87,14,0,0,16
3.316,3.316,0,233.78,14,0,0,17
3.45,3.37,0.08,233.69,14.4,0,0,17
3.564,3.42,0.144,234.04,14.6,0,0,17
3.552,3.41,0.142,233.93,14.6,0,0,16
3.54,3.4,0.14,233.62,14.4,0,0,17
3.54,3.4,0.14,233.64,14.4,0,0,17
3.528,3.388,0.14,233.26,14.4,0,0,16
3.456,3.37,0.086,233.9,14.4,0,0,17
3.332,3.332,0,233.68,14.2,0,0,17
3.31,3.31,0,232.83,14.2,0,0,17
3.312,3.312,0,233,14.2,0,0,16
3.314,3.314,0,233.08,14.2,0,0,17
3.302,3.302,0,232.69,14.2,0,0,16
3.302,3.302,0,232.91,14,0,0,17
3.3,3.3,0,232.87,14,0,0,17
3.29,3.29,0,232.42,14,0,0,16
3.286,3.286,0,232.31,14,0,0,17
3.282,3.23,0.052,232.79,13.8,0,0,16
3.296,3.218,0.078,233.05,13.8,0,0,17
3.334,3.258,0.076,234.57,13.8,0,0,17
3.34,3.264,0.076,234.79,13.8,0,0,17
3.336,3.26,0.076,234.6,13.8,0,0,17
3.338,3.262,0.076,234.54,13.8,0,0,17
3.34,3.264,0.076,234.6,13.8,0,0,16
3.314,3.238,0.076,233.77,13.8,0,0,17
3.306,3.228,0.078,233.5,13.8,0,0,17
3.3,3.222,0.078,233.27,13.8,0,0,17
3.304,3.226,0.078,233.37,13.8,0,0,16
3.284,3.206,0.078,232.64,13.6,0,0,17
3.268,3.188,0.08,231.95,13.6,0,0,16
3.276,3.196,0.08,232.21,13.6,0,0,17
3.282,3.204,0.078,232.5,13.6,0,0,16
3.31,3.232,0.078,233.63,13.8,0,0,17
3.328,3.254,0.074,234.43,13.8,0,0,17
3.426,3.376,0.05,234.63,14.4,0,0,17
3.42,3.372,0.048,235.05,14.2,0,0,17
3.414,3.366,0.048,234.96,14.2,0,0,17
3.436,3.386,0.05,235.77,14.2,0,0,17
3.642,3.496,0.146,236.76,14.8,0,0,17
3.572,3.426,0.146,234.59,14.6,0,0,17
3.588,3.44,0.148,235.13,14.6,0,0,17
3.586,3.44,0.146,235.14,14.6,0,0,17
3.604,3.454,0.15,235.75,14.6,0,0,17
3.6,3.45,0.15,235.69,14.6,0,0,17
3.634,3.48,0.154,236.86,14.6,0,0,17
3.626,3.474,0.152,236.72,14.6,0,0,17
3.606,3.456,0.15,236.05,14.6,0,0,17
2.002,1.832,0.17,237.54,8.4,0,0,17
2.146,2.044,0.102,237.44,9.4,0,0,18
3.354,3.354,0,237,14,0,0,17
3.356,3.282,0.074,235.55,13.8,0,0,17
3.382,3.308,0.074,236.51,14,0,0,17
3.386,3.314,0.072,236.76,14,0,0,17
3.378,3.306,0.072,237.11,13.8,0,0,17
1.746,1.692,0.054,238.72,7.8,0,0,18
3.412,3.342,0.07,237.66,14,0,0,17
3.424,3.354,0.07,238.2,14,0,0,17
3.406,3.334,0.072,237.46,14,0,0,18
3.402,3.33,0.072,237.36,14,0,0,17
2.804,2.74,0.064,238.13,12,0,0,17
2.886,2.74,0.146,240.44,10.6,0,2,18
2.664,2.524,0.14,240.29,10.4,0,1,17
2.522,2.476,0.046,240.98,10.2,0,2,18
2.532,2.486,0.046,241.5,10.2,0,1,18
2.53,2.484,0.046,241.4,10.2,0,1,18
2.532,2.486,0.046,241.52,10.2,0,2,18
2.524,2.474,0.05,241.6,10.2,0,1,18
2.484,2.484,0,241.15,10.2,0,2,17
2.486,2.486,0,241.25,10.2,0,1,18
2.538,2.492,0.046,241.83,10.2,0,1,18
2.488,2.488,0,241.72,10.2,0,2,18
2.55,2.504,0.046,242.31,10.2,0,1,18
2.56,2.512,0.048,242.73,10.2,0,1,18
2.572,2.522,0.05,243.39,10.2,0,2,18
2.568,2.518,0.05,243.2,10.2,0,1,18
2.548,2.502,0.046,242.24,10.2,0,1,18
2.534,2.488,0.046,241.59,10.2,0,2,18
2.532,2.486,0.046,241.47,10.2,0,1,18
2.53,2.484,0.046,241.39,10.2,0,1,18
2.542,2.494,0.048,242.03,10.2,0,1,18
2.724,2.58,0.144,241.8,10.6,0,2,18
2.772,2.592,0.18,241.46,10.6,0,1,17
2.632,2.544,0.088,242.1,10.4,0,0,18
2.596,2.534,0.062,242.52,10.4,0,0,18
2.598,2.536,0.062,242.76,10.4,0,0,18
2.598,2.536,0.062,242.81,10.4,0,0,18
2.59,2.528,0.062,242.47,10.4,0,0,18
2.584,2.524,0.06,242.2,10.4,0,0,18
2.766,2.608,0.158,242.2,10.8,0,0,18
2.754,2.59,0.164,241.88,10.6,0,0,18
2.76,2.596,0.164,242.22,10.6,0,0,18
2.764,2.598,0.166,242.35,10.6,0,0,18
2.764,2.598,0.166,242.44,10.6,0,0,18
2.756,2.592,0.164,242.19,10.6,0,0,18
2.676,2.558,0.118,242.16,10.6,0,0,18
2.498,2.498,0,242.28,10.2,0,0,18
2.496,2.496,0,242.18,10.2,0,0,18
2.492,2.492,0,241.99,10.2,0,0,18
2.488,2.488,0,242.32,10.2,0,0,18
2.506,2.432,0.074,242.55,10,0,0,18
2.486,2.412,0.074,241.98,9.8,0,0,18
2.438,2.368,0.07,242.26,9.8,0,0,18
2.364,2.31,0.054,242.54,9.4,0,0,18
2.33,2.284,0.046,242.29,9.4,0,0,18
2.314,2.268,0.046,241.42,9.4,0,0,18
2.288,2.288,0,242.49,9.4,0,0,18
2.288,2.288,0,242.49,9.4,0,0,18
2.334,2.288,0.046,242.24,9.4,0,0,18
1.898,1.898,0,242.91,7.8,0,0,18
2.216,2.216,0,242.06,9,0,0,18
2.336,2.172,0.164,241.84,9,0,0,17
2.478,2.326,0.152,242.69,9.6,0,0,18
2.424,2.282,0.142,242.02,9.4,0,0,18
2.306,2.168,0.138,241.19,9,0,0,18
2.31,2.17,0.14,241.39,9,0,0,18
2.32,2.178,0.142,241.87,9,0,0,18
2.348,2.198,0.15,243.04,9,0,0,18
2.366,2.212,0.154,243.89,9,0,0,18
2.384,2.224,0.16,244.73,9,0,0,19
2.612,2.328,0.284,244.41,9.6,0,0,18
2.612,2.318,0.294,243.95,9.4,0,0,18
2.608,2.314,0.294,243.88,9.4,0,0,18
2.588,2.298,0.29,243.06,9.4,0,0,18
2.548,2.27,0.278,241.53,9.4,0,0,18
2.55,2.27,0.28,241.63,9.4,0,0,18
2.624,2.31,0.314,241.56,9.6,0,0,18
2.724,2.342,0.382,241.61,9.8,0,0,18
2.598,2.25,0.348,241.03,9.4,0,0,18
2.838,2.456,0.382,242,10.2,0,0,18
2.958,2.57,0.388,242.68,10.6,0,0,18
3.036,2.64,0.396,243.67,10.8,0,0,18
3.144,2.754,0.39,243.23,11.4,0,0,18
2.706,2.324,0.382,242.8,9.6,0,0,18
2.478,2.206,0.272,243.22,9,0,0,18
2.198,1.946,0.252,243.46,8,0,0,18
2.108,1.888,0.22,243.05,7.8,0,0,18
1.962,1.814,0.148,243.51,7.6,0,0,18
1.63,1.474,0.156,244.13,6,0,0,19
1.636,1.478,0.158,244.23,6,0,0,18
1.922,1.754,0.168,243.83,7.2,0,0,18
1.62,1.466,0.154,243.86,6,0,0,18
1.562,1.408,0.154,243.74,5.8,0,0,18
1.552,1.402,0.15,243.12,5.8,0,0,19
1.544,1.396,0.148,242.7,5.8,0,0,18
1.548,1.4,0.148,242.9,5.8,0,0,18
1.542,1.396,0.146,242.55,5.8,0,0,18
1.546,1.398,0.148,242.78,5.8,0,0,18
1.548,1.4,0.148,242.88,5.8,0,0,18
1.558,1.406,0.152,243.47,5.8,0,0,18
1.572,1.416,0.156,244.3,5.8,0,0,18
1.574,1.418,0.156,244.49,5.8,0,0,18
1.544,1.396,0.148,242.69,5.8,0,0,18
1.568,1.414,0.154,244.13,5.8,0,0,19
1.566,1.412,0.154,244.08,5.8,0,0,18
1.574,1.418,0.156,244.59,5.8,0,0,18
1.582,1.422,0.16,244.98,5.8,0,0,19
1.582,1.422,0.16,245.05,5.8,0,0,18
1.592,1.43,0.162,245.12,5.8,0,0,18
1.844,1.542,0.302,245.01,6.4,0,0,19
1.828,1.528,0.3,244.83,6.2,0,0,18
1.798,1.508,0.29,243.46,6.2,0,0,18
1.788,1.502,0.286,243,6.2,0,0,18
1.758,1.482,0.276,241.52,6.2,0,0,18
1.896,1.548,0.348,241.29,6.6,0,0,18
1.93,1.552,0.378,241.36,6.6,0,0,18
1.934,1.554,0.38,241.53,6.6,0,0,18
1.938,1.556,0.382,241.83,6.6,0,0,17
1.938,1.556,0.382,241.87,6.6,0,0,18
1.954,1.564,0.39,242.72,6.6,0,0,18
1.956,1.564,0.392,242.97,6.6,0,0,18
1.948,1.56,0.388,242.67,6.6,0,0,19
1.886,1.532,0.354,242.47,6.4,0,0,18
1.676,1.446,0.23,242.17,6,0,0,17
1.528,1.386,0.142,241.91,5.6,0,0,18
1.524,1.384,0.14,241.7,5.6,0,0,18
1.536,1.392,0.144,242.42,5.8,0,0,18
1.546,1.398,0.148,242.95,5.8,0,0,18
1.548,1.4,0.148,243.15,5.8,0,0,18
2.092,1.944,0.148,243.01,8,0,0,18
2.176,2.176,0,242.65,8.8,0,0,18
2.362,2.362,0,242.28,9.8,0,0,18
1.928,1.928,0,242.51,8,0,0,18
1.868,1.868,0,243.56,7.6,0,0,19
2.046,2.046,0,243.31,8.4,0,0,18
1.896,1.896,0,243.43,7.8,0,0,18
2.048,2.048,0,243.42,8.4,0,0,18
1.662,1.662,0,244.24,6.8,0,0,18
1.552,1.552,0,244.98,6.2,0,0,19
1.48,1.48,0,244.75,6,0,0,18
1.366,1.366,0,244.53,5.6,0,0,18
1.36,1.36,0,244.56,5.4,0,0,19
1.328,1.328,0,244.84,5.4,0,0,18
1.308,1.308,0,244.56,5.2,0,0,18
1.306,1.306,0,244.52,5.2,0,0,18
1.314,1.314,0,245.28,5.2,0,0,19
1.314,1.314,0,245.16,5.2,0,0,18
1.304,1.304,0,244.35,5.2,0,0,19
1.654,1.48,0.174,243.85,6.2,0,0,18
1.716,1.488,0.228,243.49,6.2,0,1,18
1.714,1.484,0.23,243.65,6,0,2,18
1.714,1.484,0.23,243.88,6,0,1,18
1.842,1.546,0.296,243.72,6.4,0,1,18
1.882,1.55,0.332,243.12,6.4,0,2,18
1.892,1.556,0.336,243.65,6.4,0,1,19
1.88,1.548,0.332,243.03,6.4,0,2,18
1.868,1.54,0.328,242.63,6.4,0,1,18
1.88,1.546,0.334,243.38,6.4,0,1,18
1.878,1.544,0.334,243.43,6.4,0,2,18
1.874,1.54,0.334,243.23,6.4,0,1,18
1.872,1.538,0.334,243.19,6.4,0,2,18
1.744,1.488,0.256,243.52,6.2,0,1,18
1.468,1.378,0.09,243.72,5.6,0,1,19
1.48,1.386,0.094,244.6,5.6,0,2,18
1.482,1.388,0.094,244.97,5.6,0,1,18
1.482,1.388,0.094,245,5.6,0,1,19
1.48,1.386,0.094,244.89,5.6,0,1,18
1.48,1.386,0.094,244.91,5.6,0,2,18
1.476,1.382,0.094,244.58,5.6,0,1,19
1.474,1.382,0.092,244.61,5.6,0,1,18
1.476,1.382,0.094,244.66,5.6,0,1,18
1.472,1.38,0.092,244.57,5.6,0,2,18
1.306,1.306,0,244.48,5.2,0,0,19
1.298,1.298,0,243.74,5.2,0,0,18
1.302,1.302,0,244.06,5.2,0,0,18
1.302,1.302,0,243.98,5.2,0,0,18
1.298,1.298,0,243.72,5.2,0,0,19
1.294,1.294,0,243.31,5.2,0,0,18
1.296,1.296,0,243.44,5.2,0,0,18
1.3,1.3,0,243.91,5.2,0,0,18
1.296,1.296,0,243.48,5.2,0,0,18
1.304,1.304,0,244.14,5.2,0,0,18
1.304,1.304,0,244.21,5.2,0,0,19
1.312,1.312,0,244.94,5.2,0,0,18
1.31,1.31,0,244.81,5.2,0,0,18
1.312,1.312,0,245.06,5.2,0,0,19
1.314,1.314,0,245.21,5.2,0,0,18
1.434,1.388,0.046,245.31,5.6,0,0,18
1.522,1.416,0.106,244.39,5.8,0,0,19
1.514,1.41,0.104,244.18,5.8,0,0,18
1.518,1.412,0.106,244.62,5.8,0,0,18
1.68,1.488,0.192,244.59,6,0,0,19
1.696,1.482,0.214,244.49,6,0,0,18
1.698,1.484,0.214,244.66,6,0,0,18
1.69,1.478,0.212,244.33,6,0,0,18
1.694,1.48,0.214,244.51,6,0,0,19
1.662,1.458,0.204,242.83,6,0,0,18
1.64,1.442,0.198,241.52,6,0,0,18
1.646,1.446,0.2,242.1,6,0,0,18
1.638,1.44,0.198,241.63,6,0,0,17
1.462,1.37,0.092,241.91,5.6,0,0,18
1.282,1.282,0,242.16,5.2,0,0,18
1.282,1.282,0,242.12,5.2,0,0,18
1.276,1.276,0,241.55,5.2,0,0,18
1.42,1.332,0.088,236.96,5.6,0,0,17
1.43,1.34,0.09,237.86,5.6,0,0,17
1.544,1.398,0.146,237.63,5.8,0,0,18
1.618,1.422,0.196,239,6,0,0,17
1.62,1.422,0.198,239.16,6,0,0,18
1.612,1.416,0.196,238.75,6,0,0,17
1.604,1.41,0.194,238.29,5.8,0,0,17
1.612,1.42,0.192,238.11,6,0,0,18
1.608,1.412,0.196,238.83,5.8,0,0,17
1.488,1.29,0.198,238.79,5.6,0,0,17
0.574,0.362,0.212,240.08,1.6,0,0,0
0.54,0.348,0.192,239.77,1.6,0,0,0
0.4,0.29,0.11,239.84,1.2,0,0,0
0.406,0.294,0.112,240.38,1.2,0,0,0
0.4,0.292,0.108,239.8,1.2,0,0,0
0.402,0.292,0.11,240.22,1.2,0,0,0
0.402,0.292,0.11,240.22,1.2,0,0,0
0.42,0.31,0.11,240.36,1.4,0,0,0
0.428,0.318,0.11,240.52,1.4,0,0,0
0.426,0.312,0.114,241.3,1.4,0,0,0
2.52,2.336,0.184,239.09,10.4,30,0,0
2.828,2.632,0.196,239.19,11,40,0,0
2.81,2.616,0.194,239.08,10.8,38,0,0
2.814,2.622,0.192,239.13,11,39,0,0
2.794,2.608,0.186,238.07,10.8,39,0,0
2.804,2.614,0.19,238.66,10.8,39,0,0
2.798,2.61,0.188,238.48,10.8,38,0,0
2.81,2.62,0.19,238.86,11,39,0,0
2.81,2.62,0.19,238.86,11,39,0,0
2.816,2.626,0.19,239.17,11,39,0,0
3.098,2.774,0.324,238.14,11.6,39,0,0
3.222,2.84,0.382,237.85,12,39,0,0
3.242,2.862,0.38,238.82,12,38,0,0
3.196,2.828,0.368,237.56,12,39,0,0
3.222,2.836,0.386,236.35,12,38,0,0
3.35,2.894,0.456,237.37,12.2,39,0,0
3.326,2.876,0.45,236.64,12.2,38,0,0
3.33,2.882,0.448,236.97,12.2,38,0,0
3.332,2.884,0.448,237.15,12.2,38,0,0
1.65,1.178,0.472,239.09,6.6,12,0,0
1.134,0.654,0.48,239.76,3.4,1,0,0
1.562,1.092,0.47,238.97,6.2,7,0,0
3.306,2.866,0.44,236.83,12.2,38,0,0
3.336,2.892,0.444,237.98,12.2,38,0,0
2.974,2.534,0.44,238.19,11.2,35,0,0
0.944,0.576,0.368,239.23,2.8,1,0,0
0.944,0.576,0.368,239.43,2.8,1,0,0
0.948,0.578,0.37,239.95,2.8,1,0,0
0.872,0.584,0.288,240.33,3,1,0,0
0.996,0.604,0.392,240.78,3,0,1,0
0.986,0.6,0.386,239.89,3,0,1,0
0.98,0.596,0.384,239.49,3,0,2,0
0.984,0.6,0.384,239.79,3,0,1,0
0.986,0.6,0.386,240,3,0,1,0
0.99,0.604,0.386,240.48,3,0,2,0
0.99,0.602,0.388,240.78,3,0,1,0
0.988,0.602,0.386,240.71,3,0,2,0
1.02,0.614,0.406,240.61,3,0,1,0
1.062,0.628,0.434,241.22,3.2,0,2,0
1.072,0.634,0.438,241.96,3.2,0,1,0
1.064,0.628,0.436,241.49,3.2,1,1,0
1.068,0.632,0.436,241.55,3.2,0,2,0
1.046,0.62,0.426,240.15,3,1,1,0
1.052,0.622,0.43,240.84,3,0,1,0
1.08,0.69,0.39,241.07,3.2,0,2,0
1.078,0.688,0.39,241.09,3.2,0,1,0
1.064,0.682,0.382,240.06,3.2,0,1,0
1.268,0.822,0.446,239.57,4,0,1,0
1.034,0.652,0.382,240.27,3,0,2,0
1.044,0.656,0.388,241.26,3.2,0,1,0
1.044,0.656,0.388,241.16,3.2,0,1,0
1.132,0.702,0.43,241.68,3.4,0,1,0
1.226,0.732,0.494,241.41,3.6,0,2,0
1.236,0.74,0.496,241.88,3.6,0,1,0
1.234,0.738,0.496,241.88,3.6,0,1,0
1.084,0.682,0.402,242.65,3.2,0,0,0
1.066,0.692,0.374,242.67,3.2,0,0,0
1.052,0.678,0.374,242.43,3.2,0,0,0
1.05,0.672,0.378,242.77,3.2,0,0,0
1.046,0.67,0.376,242.41,3.2,0,0,0
1.05,0.67,0.38,243.15,3.2,0,0,0
0.998,0.648,0.35,243.8,3,0,0,0
0.876,0.6,0.276,243.21,2.6,0,0,0
0.862,0.592,0.27,241.87,2.6,0,0,0
0.856,0.588,0.268,241.64,2.6,0,0,0
0.862,0.59,0.272,242.29,2.6,0,0,0
0.854,0.586,0.268,241.49,2.6,0,0,0
1.074,0.748,0.326,241.34,3.6,0,0,0
0.856,0.584,0.272,241.68,2.6,0,0,0
0.844,0.576,0.268,241.4,2.6,0,0,0
0.84,0.572,0.268,241.09,2.6,0,0,0
0.842,0.578,0.264,240.75,2.6,0,0,0
1.092,0.836,0.256,239.42,4.2,0,0,0
2.154,1.91,0.244,239.33,8,0,0,0
1.05,0.792,0.258,240.19,4,0,0,0
0.846,0.578,0.268,241.76,2.6,0,0,0
0.84,0.576,0.264,241.32,2.6,0,0,0
0.836,0.574,0.262,240.66,2.6,0,0,0
1.256,0.972,0.284,240.92,4.8,0,0,0
1.422,1.17,0.252,239.47,5.6,0,0,0
0.828,0.57,0.258,239.93,2.6,0,0,0
0.828,0.57,0.258,239.87,2.6,0,0,0
0.824,0.568,0.256,239.4,2.6,0,0,0
0.832,0.572,0.26,240.46,2.6,0,0,0
0.838,0.574,0.264,240.86,2.6,0,0,0
0.72,0.528,0.192,241.62,2.4,0,0,0
0.684,0.556,0.128,241.23,2.4,0,0,0
0.664,0.54,0.124,241.81,2.2,0,0,0
0.756,0.586,0.17,241.11,2.6,0,0,0
0.838,0.61,0.228,241.07,2.6,0,0,0
0.842,0.612,0.23,241.74,2.6,0,0,0
0.832,0.606,0.226,240.55,2.6,0,0,0
1.01,0.784,0.226,240.68,3.4,0,0,0
1.498,1.28,0.218,239.59,6,0,0,0
0.84,0.608,0.232,241.97,2.6,0,0,0
0.84,0.606,0.234,242.26,2.6,0,0,0
0.842,0.606,0.236,242.63,2.6,0,0,0
0.84,0.604,0.236,242.83,2.6,0,0,0
0.732,0.56,0.172,242.57,2.4,0,0,0
0.66,0.53,0.13,242.23,2.2,0,0,0
0.778,0.588,0.19,242.15,2.6,0,0,0
0.89,0.63,0.26,241.47,2.8,0,0,0
0.882,0.624,0.258,240.85,2.8,0,0,0
0.876,0.62,0.256,240.78,2.8,0,0,0
0.874,0.618,0.256,240.67,2.8,0,0,0
0.868,0.614,0.254,240.03,2.8,0,0,0
0.87,0.614,0.256,240.31,2.8,0,0,0
0.864,0.61,0.254,239.98,2.8,0,0,0
0.866,0.61,0.256,240.33,2.8,0,0,0
0.872,0.614,0.258,240.7,2.8,0,0,0
1.444,1.19,0.254,240.86,5.8,0,0,0
0.866,0.608,0.258,240.53,2.6,0,0,0
0.87,0.614,0.256,240.4,2.8,0,0,0
0.878,0.62,0.258,240.66,2.8,0,0,0
0.876,0.622,0.254,240.05,2.8,0,0,0
0.874,0.618,0.256,240.28,2.8,0,0,0
0.882,0.63,0.252,240.09,2.8,0,0,0
0.884,0.626,0.258,240.99,2.8,0,0,0
0.878,0.622,0.256,240.89,2.8,0,0,0
0.868,0.614,0.254,240.11,2.8,0,0,0
0.862,0.614,0.248,238.91,2.8,0,0,0
0.856,0.61,0.246,238.21,2.8,0,0,0
0.856,0.608,0.248,238.76,2.8,0,0,0
1.022,0.688,0.334,238.82,3.2,0,0,0
1.038,0.684,0.354,239.65,3.2,0,0,0
1.034,0.682,0.352,239.44,3.2,0,0,0
1.044,0.69,0.354,239.8,3.2,0,0,0
1.06,0.698,0.362,241.13,3.2,0,0,0
1.628,1.268,0.36,241.73,6,0,0,0
0.994,0.642,0.352,242.14,3,0,0,0
0.606,0.394,0.212,241.11,1.8,0,0,0
0.612,0.404,0.208,241.42,1.8,0,0,0
0.506,0.38,0.126,241.06,1.6,0,0,0
0.492,0.378,0.114,241.4,1.6,0,0,0
0.49,0.378,0.112,240.92,1.6,0,0,0
0.494,0.378,0.116,241.4,1.6,0,0,0
0.504,0.382,0.122,242.73,1.6,0,0,0
0.502,0.374,0.128,242.21,1.6,0,0,0
0.5,0.372,0.128,241.44,1.6,0,0,0
0.556,0.428,0.128,241.66,1.8,0,0,0
0.432,0.342,0.09,240.9,1.6,0,0,0
0.276,0.276,0,241.51,1.2,0,0,0
0.274,0.274,0,240.63,1.2,0,0,0
0.312,0.312,0,240.07,1.6,0,0,0
0.472,0.362,0.11,240.81,1.6,0,1,0
0.474,0.362,0.112,241.09,1.6,0,1,0
0.988,0.888,0.1,239.71,4.6,0,2,0
0.474,0.358,0.116,241.88,1.6,0,1,0
0.466,0.354,0.112,241.27,1.6,0,2,0
0.468,0.364,0.104,241.28,1.6,0,1,0
0.47,0.36,0.11,241.63,1.6,0,2,0
0.46,0.35,0.11,240.06,1.6,0,1,0
0.458,0.348,0.11,239.96,1.6,0,1,0
0.432,0.332,0.1,239.79,1.4,0,2,0
0.414,0.32,0.094,240.36,1.4,0,1,0
0.568,0.398,0.17,239.83,1.8,0,1,0
0.878,0.536,0.342,239.37,2.8,0,2,0
0.87,0.518,0.352,240.68,2.6,0,1,0
0.87,0.516,0.354,241.04,2.6,0,1,0
0.864,0.512,0.352,241.03,2.6,0,2,0
0.85,0.504,0.346,240.02,2.6,0,1,0
0.848,0.498,0.35,240.6,2.6,0,1,0
0.826,0.484,0.342,240.97,2.4,0,2,0
0.802,0.472,0.33,240.86,2.4,0,1,0
1.338,1.034,0.304,239.82,5.2,0,1,0
1.158,0.944,0.214,239.51,4.6,0,1,5
1.802,1.596,0.206,239.36,6.6,0,1,18
1.788,1.584,0.204,239.1,6.6,0,2,18
1.774,1.568,0.206,239.22,6.6,0,1,18
1.692,1.538,0.154,240.03,6.4,0,1,18
1.592,1.502,0.09,239.88,6.2,0,0,18
1.612,1.516,0.096,241.48,6.2,0,0,18
1.598,1.504,0.094,240.77,6.2,0,0,18
1.578,1.482,0.096,241.15,6,0,0,17
1.508,1.408,0.1,241.67,5.8,0,0,18
1.482,1.39,0.092,240.28,5.8,0,0,18
1.468,1.382,0.086,239.26,5.8,0,0,18
1.484,1.404,0.08,240.52,5.8,0,0,17
1.486,1.406,0.08,240.66,5.8,0,0,18
1.49,1.408,0.082,241.01,5.8,0,0,18
1.508,1.42,0.088,242.26,5.8,0,0,18
1.51,1.424,0.086,242.4,5.8,0,0,18
2.036,1.958,0.078,241.83,8.4,0,0,18
1.504,1.422,0.082,241.9,5.8,0,0,18
1.494,1.416,0.078,241.13,5.8,0,0,18
1.5,1.422,0.078,241.13,5.8,0,0,17
1.574,1.458,0.116,240.53,6,0,0,18
1.654,1.47,0.184,240.08,6.2,0,0,18
1.646,1.464,0.182,239.61,6,0,0,17
1.65,1.474,0.176,239.83,6.2,0,0,18
1.666,1.486,0.18,240.84,6.2,0,0,18
1.676,1.492,0.184,241.63,6.2,0,0,18
1.686,1.498,0.188,242.2,6.2,0,0,18
1.678,1.492,0.186,241.79,6.2,0,0,18
1.674,1.482,0.192,241.03,6.2,0,0,17
1.612,1.458,0.154,241.41,6,0,0,18
1.506,1.416,0.09,241.34,5.8,0,0,18
1.496,1.408,0.088,240.54,5.8,0,0,18
1.504,1.414,0.09,241.13,5.8,0,0,18
1.518,1.424,0.094,241.87,5.8,0,0,17
2.052,1.964,0.088,241.14,8.6,0,0,18
1.364,1.364,0,241.93,5.6,0,0,18
1.328,1.328,0,241.04,5.4,0,0,18
1.324,1.324,0,240.78,5.4,0,0,18
