ResponseID,Gender,Age,Edu,Duration,Freq,IR,ICU,IA,IU,IF,ICO,ICR,EOU,SyR,SyF,SyA,SyT,SyI,SySc,SrR,SrRp,SrA,SrC,SrSc,SrCp,SrP,SrCm,SrAc,SrE,SrTa,Satisfation
91123,2,1,2,3,7,0,2,0.67,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
519987,1,1,1,1,6,0.33,1,1.33,1.67,1,1.33,1.33,2,1.25,1.67,0.33,0.67,2,2,1.67,1.5,2,2.67,1.67,2.25,2,1,2,2,2,satisfied
606216,1,1,2,3,6,0,1.67,1.33,-0.33,-0.33,1,1,-1,0.5,1.67,0.67,0.67,1.67,1,-0.33,0.5,0.67,0.67,0.33,0.75,0,0.33,-0.33,0.5,0.57,Somehow Satisfied
623821,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Somehow Satisfied
632548,1,1,1,3,2,0,3,3,2,2.33,2.33,3,1.67,1.75,1.33,1.67,0.67,0.67,0.67,0.67,1,0.67,0,0,0,0,0,2,1.5,2,Somehow Satisfied
818752,1,1,2,4,2,0,2,-2,1.33,1.33,1,-0.33,1.67,0.5,0.33,2.33,1,1.33,2.67,-1.67,0.5,-0.33,0.67,0.33,0.75,-1.5,-2.33,1.33,0.25,1.57,Somehow Satisfied
824285,1,1,2,4,4,2,2,2,-0.67,-3,2,2,-1,2,2,2,-2,2,2,0,0,0,0,0,0,0,0,0,0,0,Somehow Distatsified
825263,1,1,3,1,6,2,2.67,1.67,2.33,2.33,2.67,3,2.67,2.25,1.33,3,2,2.67,3,2.67,2.75,3,2.67,3,2.75,2.5,2.67,3,2.25,2.86,satisfied
825494,1,1,2,3,7,1,2.33,2,2,2.33,1.67,2.67,2,2,1.67,2,2,2,2,2,1.75,2.33,2,2,2,2,2,3,2,2.29,satisfied
845856,1,1,2,2,1,0.67,0.33,0.67,1.67,0,0.67,1,1,-0.25,-0.67,0.67,1,0.67,1.33,0.67,0.25,0.67,1.33,1.67,1,1,1.67,0.33,0,0.86,satisfied
845957,2,1,3,1,2,3,3,3,3,3,3,3,2.33,3,3,3,2.67,3,3,3,3,3,3,3,3,3,3,2.67,3,2.86,satisfied
854373,1,1,2,1,7,0,1,0.67,-0.67,0,1,0,0.33,-0.75,0.33,0.33,0.67,1,0,0.33,0.5,1,0.67,0,0.5,1,1,0.33,0,0,Somehow Satisfied
864402,1,1,2,1,7,-0.67,2.33,1.67,1.67,1.67,2,2,1.67,2,1,1.67,2,2,2,2,2,2,2,2,2,2,2,2,1.25,2,satisfied
867150,1,1,2,3,4,1,1,0.33,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
869176,1,1,2,3,3,2,3,3,1.67,2.67,2.33,3,2.33,2.75,2.67,3,2.67,3,2.33,1.67,2.75,2,3,3,3,3,3,3,2.75,2.86,satisfied
871702,1,1,2,3,4,1.67,2,3,2.67,2,2.67,2.67,3,3,1.67,0.67,1,0,1.67,0,0.5,0,-1,1,1.5,1.5,1,1,-0.5,1.57,satisfied
875553,2,1,1,3,6,1,1,1,1,1,1,1,1,1,1,1.67,1.33,0.67,0.33,0.33,0.75,0.33,0,0.33,0.25,-1,-0.33,0.33,0,0.14,Neutral
875734,2,1,2,3,3,-1.67,1.67,0.67,1.67,2,1.67,2,0.33,0.75,1,1,0.67,0.67,0.67,1.33,1,0,0.33,0,0,-1,0.33,1,-0.25,0.29,Somehow Satisfied
875803,2,1,2,3,1,1.33,1.67,2,0.67,1.33,1.33,1.33,1,1.5,0.33,0.67,1,1,1.33,0.67,1,1,0.67,1.33,1.25,1.5,0.67,1.33,0.75,0.71,Somehow Satisfied
875950,1,1,2,3,6,-0.67,1.33,-0.33,-0.33,0,-0.33,1.33,-0.67,0.25,-0.33,0.33,0.67,1,1.33,0.33,0.75,-0.33,1,0.33,0.5,1,0.67,1,1,0.57,Somehow Satisfied
879524,2,1,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
883076,1,1,1,2,3,2,2,1.67,2.67,2.67,2,3,1.67,1.75,1.67,1.67,2,2,2,2.67,2.25,3,3,2,2.25,2,2.33,2.33,2.5,2.71,satisfied
886686,2,1,2,3,2,0,2,2,2,1.33,2,1.33,1,1.25,-0.33,1,0.67,0.33,3,1,1,1,1.33,1,1,1,1,0.33,-1.25,-0.14,Neutral
890258,2,1,2,3,6,1,0.33,0.33,0.67,-0.67,-0.67,0.33,0.67,0,-0.33,1.67,1.67,0.67,0.33,2.67,2.75,3,1.67,1.67,2,2,1.67,1.33,1.5,0.71,Somehow Satisfied
892804,1,1,2,1,3,0,0.33,0,2,1,1.67,1.33,0.67,0.5,-0.33,1,1,1,1,1.33,1,1,0,1.67,0.75,0,1,1.33,0.75,0.57,satisfied
893551,2,1,2,3,6,2.67,3,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
906910,1,1,2,3,1,1,0.67,2.67,-1,-1.67,1.67,1.67,2,2,2,2,-0.67,0,2,-0.33,-2,-0.33,-1,0,0.25,0,1,-2,-1,0,Somehow Satisfied
908223,1,1,2,3,5,0,-3,-2,0.33,-0.67,-2,-3,0.33,0,0.33,-3,-1,-3,0,-0.67,-0.5,-0.67,0,0,-0.5,0,0,0,0,0,Somehow Distatsified
910002,1,1,2,2,3,-0.33,-3,-1.33,-1,0.67,-2,1.33,0.33,0.5,1,0,0.67,0.67,1.33,1,-2.25,-2.67,3,3,3,1.5,3,0,0,0,Somehow Distatsified
911288,1,1,2,3,5,0.67,1.67,0.67,1.33,1,1.67,1,1.33,1.25,1.67,1.67,1.33,2,1.67,1.67,1.5,1.67,1,1.67,1.75,1,1.33,1.67,1.75,1.57,satisfied
911607,2,1,2,2,3,0.33,1.33,0,2,2.67,1.67,2.67,0,1.25,1.67,2,0,1,2,2,2,1.67,2,2.67,1.75,2,1.33,1,1.25,1.29,satisfied
911629,2,1,2,3,5,2.67,1.33,1.33,3,3,2.67,3,2.33,2.5,1.67,2.33,2.33,3,3,3,2.75,3,3,3,3,3,3,3,2.75,2.57,satisfied
913848,2,1,2,3,3,2,2.33,2.33,3,3,3,3,3,2.75,3,3,2,1.33,2,2.33,1.25,2,1.33,2,1.5,2,2,3,1.5,2.14,satisfied
915394,1,1,2,3,7,3,1.33,1.33,3,3,3,3,3,3,3,2,2.67,3,2.33,2,2,2,2.33,2.67,2.25,2,2.67,2.67,2.5,2.57,satisfied
916045,1,1,2,3,4,2,1.67,1,1.67,1.67,1,1.67,1,1.25,2,1,0.33,1,1,0,0.25,0.67,0.67,0.67,0.5,0,0,0.67,0.5,1.14,satisfied
916220,2,1,2,3,3,0,2,1,2,1.67,1.33,1.67,0,-0.75,0,0,0,0,0,-1,-0.75,-2.67,-0.67,0.67,0.25,0,-0.67,1,-2,1.86,Somehow Satisfied
917181,2,1,2,3,6,1,0.67,1,1,1.33,1,1,0.33,0,0.33,1,0.33,0.33,0.67,0,0,0,0.33,0,0.25,0,0.33,0,0,0,Somehow Satisfied
918994,2,1,1,3,5,0,0.67,0,0,0,0,0,-1,-1,-1,1,1,1,1,-1,-0.75,-1,0,0,0,0,0.33,0,0,0,Neutral
921335,1,1,2,3,2,0.67,0.67,-0.33,1,-0.33,-0.33,0.33,0.33,0,1.33,0.33,0,-0.33,1,0.33,0.25,-1,-0.33,-1,0.5,0,0,-0.33,0.25,0.14,Somehow Satisfied
922693,1,1,1,3,3,2,2,1.33,2.33,2,1,1.67,0.67,0.25,0.33,0.67,1,1.67,1,1,1,1.33,1,1.33,1.75,2,1.67,1.33,1.5,1.14,satisfied
923578,1,1,2,3,1,0.67,1,1.67,0.67,0.67,0,0.67,-0.33,0.5,0.33,0.33,0,0.33,1.67,0.67,0.5,0.33,0.33,-0.33,0.25,0,0.67,-0.33,0.75,0.14,Somehow Satisfied
923749,2,1,1,1,7,3,3,2.67,3,3,3,3,3,2.75,2.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
924545,1,1,2,3,6,-0.67,1,0.33,1,1,1,1,1,0.25,1,0,0,-0.33,0,0.33,0.25,0.33,0,0,0,0,0,0.67,0,0.14,Neutral
928449,2,1,2,3,7,0.33,1.67,1,2,2,1.33,1.67,1,1,0.33,1,1,1.67,1,1,1.5,1,1.67,1.67,2,2,1.33,1.67,1.5,1.86,satisfied
932378,1,1,2,3,5,0,0.33,0,-0.33,0,0.67,0.33,-0.33,0.5,0,0.33,-0.33,0.33,-0.33,0,0.5,0,-0.33,-0.33,0.25,0.5,0.33,-0.67,-0.25,0.29,Neutral
935358,2,1,2,1,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
936468,2,1,2,3,2,0,-2,-0.67,-0.33,1,0.33,-0.33,0.67,-0.75,0,0.33,0,-0.67,3,-3,-3,-3,0,-0.67,-0.75,0,-1,-1.67,0,2.86,Somehow Satisfied
937353,1,1,1,3,7,1,1.33,1.67,2,2.33,1.67,2,3,2.25,3,3,2.67,2.67,2.67,2.67,2.75,2.33,2.67,2.33,2.5,2.5,2.67,2.67,2.75,2.86,satisfied
940804,1,1,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.14,satisfied
941774,2,1,2,3,3,0,-1,-2,0,1,-1,-1,1.67,0.5,2,-1,0.33,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1.14,Somehow Satisfied
941808,2,1,2,1,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
947017,2,1,2,1,5,1.33,2,-0.33,0.67,0.67,1.67,1.67,0.67,1,2,1.33,2,1.67,1.33,1.67,2,1.33,1.33,2,1.75,1,1.33,1.67,1.75,2,satisfied
947055,2,1,2,3,3,0,2,-0.33,0.67,1,0.67,1,0,0,0,-0.67,-0.33,0.33,1,0,0,0,0.33,0,0,0,0,0,-2.75,-0.43,Neutral
948341,2,1,3,1,5,2,2,2,1,2,1.67,2,1.67,1.75,1.33,2,2,2,2,2,2,2,1.67,2,1.75,2,1.33,1.33,1.25,1.71,satisfied
948391,2,1,2,3,5,1.67,1.33,0.33,1,1,0,0,-0.33,-1,-0.33,0.33,0.33,1,0.33,0,0.75,1.33,0.33,0.33,0.75,0.5,0.67,0.33,0.75,0.57,satisfied
948865,2,1,1,3,6,0.33,0.33,0.67,0.67,0.33,0.33,1,0.67,0.25,0.33,-0.33,0.67,1,1,0.33,0.75,0.67,1,1,0.5,0.5,0.67,1,0.75,1.14,Somehow Satisfied
949066,2,1,2,3,6,1,-0.33,-1.33,-1.33,-1.67,-0.67,0,-0.33,-0.5,-0.33,1,0,-0.33,2,-3,-3,-3,1,1,-0.75,0,-1,-2.33,1,0.29,Neutral
952896,1,1,2,3,6,3,2.33,0,1.67,2.67,1.67,2.67,1.67,0.75,2.33,2,1.67,1.67,2.33,0.67,0.25,1.33,2,2,0.75,1.5,1.67,1.33,2,1.71,satisfied
954327,2,1,2,3,1,0,-0.33,1,-1,0.33,-0.33,-0.33,-0.33,-0.25,-0.67,-0.67,0.67,1,2,-0.33,-0.5,0.33,-1,0,-1,-0.5,-1,-1,-1,-0.71,Somehow Distatsified
955754,2,1,2,3,6,0,2,-0.33,-0.67,-0.67,-1.33,0,-1.33,-1.75,-2.33,-2.67,-1.67,-2,1,-2.67,-2.25,-2.33,-1.67,-0.67,-1,-1.5,-0.67,-0.33,-2,-1.14,Somehow Satisfied
956121,1,1,2,3,6,3,2.33,1.67,2.33,2,2,2.67,3,2.75,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,satisfied
956595,1,1,1,3,4,0.33,1,-0.33,0.33,0,-0.67,0.67,0,-0.25,0.67,0.67,1,0,1,-1,-1.25,-0.67,-0.33,-0.67,0.75,-0.5,0.67,-0.33,-0.5,-0.43,Somehow Satisfied
957088,2,1,2,3,2,-3,2,-0.67,0.67,-0.33,1,-0.33,-3,-2.75,-2.67,-0.33,-2,0.67,1,-1.67,-1,-1.67,2,2,-0.5,-0.5,-0.67,-0.67,-0.5,-0.29,Somehow Distatsified
960503,1,1,1,3,7,3,3,3,3,3,3,3,2.67,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
961859,2,1,2,1,5,2,2,2,2,3,2.67,2.33,2.33,2.25,2.33,2,2,1.33,2,3,2.25,2.33,2,2.33,2.25,2.5,3,3,2.5,2.14,satisfied
964761,1,1,2,1,4,0.33,1,0.33,1.33,1,1.33,1.33,1,0.25,1.67,1,1,1.67,1,0.33,0.75,0,0,0,0,0,0,0,0,0,Somehow Satisfied
964888,1,1,1,3,5,2,2,1.33,1.33,0.67,0.33,0.67,-0.67,-0.5,-0.67,0.33,0,0,0,0,0,0,-1.33,0,-0.25,-1,-1.67,-0.33,0,0,Neutral
967110,1,1,2,3,2,2,1,2,1.33,-0.67,0.67,1.33,0,0.5,-0.67,0.33,-0.33,-2.33,-0.33,-1,-0.25,-1.33,-0.33,0.33,-0.5,0.5,0.67,1,-1.75,1.29,Somehow Satisfied
967282,1,1,2,3,7,3,3,1,3,3,3,2,2.67,2.25,3,2.67,3,3,3,3,2.25,3,3,3,3,3,3,3,3,3,satisfied
969841,2,1,2,3,3,2,2,1.33,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
969944,2,1,2,3,6,2.33,2,1.67,0.67,2,2,1.33,-0.33,0.75,1,2,1.67,2,2.33,1.67,2,1,1,0.67,2.25,1,2,1.67,2.25,1.71,satisfied
970703,1,1,1,3,7,0.33,1,1,3,2,3,3,3,3,3,3,3,3,3,1,0.75,1.33,2,1.67,2,2,2,2,1.5,0.57,satisfied
971006,1,1,1,1,7,2.33,2.33,3,2.33,1.33,3,2,2.67,3,2.67,2.67,2,3,1.67,2,2.5,2.33,2.33,2.33,2.5,2.5,2.67,2.33,2.25,2.71,satisfied
973312,2,1,2,3,7,2,2,1.33,2,1.67,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
973422,2,1,2,3,4,-0.33,0.33,1,-1.33,-3,-0.33,0.33,-1,-1,-0.67,1,0.33,1,1,-1,-0.75,-0.67,1.67,0.67,1,1.5,0.67,-1,-0.5,1,Neutral
973823,2,1,2,3,1,-0.67,-0.33,-0.33,2.33,1.33,1.67,2.67,1.67,0.25,-0.67,1.67,0,0.67,0,1.67,0.75,-0.33,0.67,0,0.5,1,1,0,1,0.71,Neutral
974941,2,1,2,3,6,0,1.67,1,1,1,1,1,1.33,2,1.67,0.67,0.67,0.33,0.33,0,0,0,0,0,0,0,0,0.33,0,0.14,satisfied
974977,2,1,2,1,7,1,0.67,-0.67,0.33,0,0.67,-0.67,0.67,0.25,0,0.67,0,-0.67,0.67,1,1,1,0.33,0,0,1,1,0.67,0.5,0.86,Somehow Satisfied
977552,2,1,2,3,5,2,3,2.67,2,2,1.33,2,1.67,1.75,1,1.67,2.33,2,3,2,1.75,2,0,0,0,0,0,0.33,0,0,satisfied
977828,2,1,1,3,5,0,1,2,2,2,1,2,1.67,1.75,1,2,2,1,2,1.67,1.75,2,2,2,1.75,2,2,2,1.75,2,satisfied
978687,2,1,1,3,3,1.33,2.33,1.67,1.33,2,2.33,1,1.67,0,0,0.33,0,-1.67,0.33,0,0,0,-1.67,0.33,1,1,2,0.33,1,0.14,satisfied
979497,1,1,2,1,5,2.67,-3,-1.67,-2.67,-3,-0.33,2,-2.67,0.75,1.67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Somehow Distatsified
980150,1,1,2,3,5,3,3,1,3,3,3,3,3,0,1.67,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,satisfied
982906,1,1,2,3,5,2.33,1.67,2,1.67,2,2.67,1.67,2,2.25,2,2,2,2,2,2,2.25,2,3,1.67,1.75,2,1.67,2.67,2.25,1.57,satisfied
982974,1,1,2,3,5,0,-0.33,-1,1,0.67,-0.67,-0.67,0.67,-0.5,-0.67,-1.33,-0.33,-0.33,0,-2,-1.25,-1.67,-0.33,-1.33,0,-0.5,-1.33,0.33,-0.25,0.43,Somehow Distatsified
983303,2,1,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
983322,1,1,2,1,7,1,1.33,1.33,0.33,1.33,1.33,1.67,1.33,2,1,1,1.67,1.67,2,2,1,1.33,1.67,1.33,1.5,0.5,1.67,1,-0.25,1.29,Somehow Satisfied
983367,2,1,2,3,6,0,2,1.33,1,1,0.33,1,1,0,-1.33,0.67,0.33,0,0.33,0,0,0,0.33,-0.67,0.25,0.5,0.33,0,0.25,0.14,Neutral
983827,1,1,2,3,5,0,1.33,1.67,1,1.67,1,1.67,1.33,0.5,0.33,1.33,1,0.67,1.33,1.67,1.5,1.33,1.67,1.33,1.25,2,2,1,1.25,1.57,satisfied
984598,1,1,2,3,1,0.67,2,0,0,0,2,2,-1,1.25,2,1,0,-1,3,0,0,0,0,0,0,0,0,0,0,0,Somehow Satisfied
984910,2,1,3,3,7,0,1,-1,1,1,0.67,0.67,0.67,0.25,-1.67,0.33,0.33,1,1,0,0,0,0,0,0,0,0,0,0,0,Somehow Satisfied
985516,2,1,2,3,1,2,2,0.67,2,2,2,2,2,2,1.33,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,satisfied
985916,1,1,1,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,satisfied
986052,1,1,2,1,4,0.67,0.33,-0.33,1.33,1,1.33,1,0.33,0.75,0,0.33,0,0.33,3,-0.33,-0.5,-1,1.67,3,2.5,1.5,0.33,0.33,0.75,0.14,Somehow Satisfied
986455,1,1,2,3,4,-0.67,-0.33,-0.33,0.33,-0.33,-0.33,0.33,-0.33,0,-1,-0.33,0,0.33,0.33,0.33,-1,-0.67,1,0.33,0.25,1,0.67,-0.67,-0.75,0.14,Somehow Distatsified
986461,2,1,2,1,4,0.33,1,-0.33,1.67,1.33,1.33,0.33,0.33,-0.75,-1,-0.33,0.33,0.67,0.67,1,1.25,1,1.33,1,1,0,0.33,0.33,1,1.14,satisfied
986517,1,1,2,3,5,1.33,2,3,-2,-2.67,0.67,1.67,-2.33,1,1.33,1,0,0.67,3,2,1.75,2,3,2,1.75,3,3,2,1.25,2.29,Somehow Satisfied
